Unnamed: 0,Unnamed: 1,Game,Change watch time (mins),Change stream time (mins),Change peak viewers,Change peak channels,Change streamers,Change average viewers,Change average channels,Change average viewer ratio,Unnamed: 11
1,,Fortnite (Creative Mode),14881795560,396282720,843874,21388,358881,28317,754,300.0,
1,,Roblox,14881795560,396282720,843874,21388,358881,28317,754,250.0,
1,,Diablo IV,14881795560,396282720,843874,21388,358881,28317,754,-202.41,
2,,EA Sports FC 24,8408011140,187773240,384755,6283,356890,15998,357,100.0,
4,,Street Fighter 6,6558923760,95703120,274962,2091,99116,12480,182,60.0,
5,,Hogwarts Legacy,5176151580,325627500,1180737,29161,530710,9849,619,80.0,
6,,Baldur's Gate 3,4247813400,194199720,442369,5145,185101,8083,369,100.0,
7,,Call of Duty: Modern Warfare III,4132358280,263628480,447866,16940,374055,7863,501,60.0,
8,,Resident Evil 4,3661133340,187845480,326170,12899,278529,6966,357,50.0,
9,,Honkai: Star Rail,3647287500,292921860,268167,19046,264780,6940,558,80.0,
11,,Sports,3299108580,-3608280,754542,602,-88691,6278,-7,57.51,
12,,The Legend of Zelda: Tears of the Kingdom,3283811040,150953040,351085,9223,100922,6248,287,14.49,
13,,Dark and Darker,2973303720,53923320,120635,1892,34738,5658,103,-42.55,
14,,Only Up!,2921004000,25334160,279318,748,111494,5558,48,115.3,
15,,Lethal Company,2700644940,97766040,190455,4797,257163,5138,186,27.62,
16,,Starfield,2382463860,125864100,526934,10052,194309,4533,239,-132.15,
17,,Counter-Strike 2 Limited Test,2255924100,33316800,208933,1842,71318,4292,63,67.71,
18,,Sons of the Forest,2228030880,76824480,777834,7272,171303,4240,146,24.69,
19,,Minecraft,2120193060,-21969240,-487368,-1514,-250232,4034,-42,2.33,
20,,Lies of P,2108677860,84304080,222877,3479,137493,4012,160,-431.95,
21,,FIFA 23,2058214380,227757240,-992,-1258,488454,3916,433,-27.25,
22,,The Texas Chain Saw Massacre,2038658880,79510560,203382,4964,180695,3879,151,-0.57,
24,,Albion Online,1914472620,31806480,-2608,140,9461,3643,61,-13.21,
25,,IRL,1855863060,6978540,26476,86,-59711,3532,14,24.87,
26,,World of Warcraft,1771214820,36094200,-220619,-5892,-3076,3371,69,0.56,
27,,Call of Duty: Modern Warfare II,1701173640,1042296060,-408454,-10919,847440,3237,1984,-5.43,
28,,Black Desert,1602266580,12672960,-664,-32,3955,3049,25,11.87,
29,,MARVEL SNAP,1559510040,15912300,214086,129,15980,2967,30,24.0,
30,,NBA 2K24,1539043860,195623580,195102,8328,236399,2928,372,7.87,
31,,Special Events,1507676100,3923100,96496,2606,-58595,2869,7,13.39,
32,,Tom Clancy's Rainbow Six Siege X,1445301900,235250160,-51058,866,348948,2750,448,-4.39,
33,,FINAL FANTASY XVI,1295996340,81154500,178872,5007,78763,2466,154,8.67,
34,,THE FINALS,1281842700,67184160,123595,2359,245557,2439,127,12.6,
35,,MapleStory,1278987420,8808900,72039,-24,857,2433,17,17.97,
36,,Party Animals,1237852500,25390860,324946,1604,96035,2355,48,47.26,
37,,Escape from Tarkov,1204893960,-56788620,-126770,-526,-33700,2292,-108,7.82,
38,,BattleBit Remastered,1193124360,31163880,39964,473,71333,2271,59,0.7,
39,,Suika Game,1128379620,7168740,125368,212,31415,2147,13,157.4,
40,,Dota 2,1115170740,50136900,67506,-220,21749,2122,96,-4.82,
41,,Cyberpunk 2077,1089884820,35670540,81810,2403,15924,2074,67,6.83,
42,,Mortal Kombat 1,1042326540,43767900,150301,3361,105430,1983,83,23.81,
43,,Star Wars Jedi: Survivor,957795600,60654360,238473,4901,103236,1822,115,11.25,
44,,Teamfight Tactics,951395220,-4565700,-1660,-137,-28893,1810,-8,7.06,
45,,Remnant II,940941360,48432000,101077,1957,77102,1790,92,19.03,
46,,Madden NFL 24,928673640,166115160,107012,3195,221305,1767,316,5.59,
47,,Marvel's Spider-Man 2,927030600,72910560,276585,11225,151344,1764,138,-0.48,
48,,Dead Space,856705020,39421800,262335,2990,111020,1630,75,20.35,
49,,EA Sports FC Online,821713740,825720,36192,24,554,1564,1,121.59,
50,,ARK: Survival Ascended,804303600,32037840,129337,957,33755,1530,60,25.1,
